Location
"`Abasan al Kabirah, Gaza Strip"
"Abdul Khel, Pakistan"
"Abdulino, Russia"
"Abdullahnagar, India"
"Abdurahmoni Jomi, Tajikistan"
"Abeche, Chad"
"Abejorral, Colombia"
"Abelardo Luz, Brazil"
"Abengourou, Côte d’Ivoire"
"Abensberg, Germany"
"Abeokuta, Nigeria"
"Aberaman, United Kingdom"
"Aberbargoed, United Kingdom"
"Aberdare, United Kingdom"
"Aberdeen, United Kingdom"
"Aberdeen, United States"
"Aberdeen, United States"
"Aberdeen, United States"
"Aberdeen, United States"
"Aberdeen, United States"
"Abergavenny, United Kingdom"
"Abergele, United Kingdom"
"Abertawe, United Kingdom"
"Abertillery, United Kingdom"
"Aberystwyth, United Kingdom"
"Abha, Saudi Arabia"
"Abhar, Iran"
"Abhayapuri, India"
"Abhepur, India"
"Abhia, India"
"Abhwar, India"
"Abi al Khasib, Iraq"
"Abidjan, Côte d’Ivoire"
"Abiko, Japan"
"Abilene, United States"
"Abim, Uganda"
"Abingdon, United Kingdom"
"Abington, United States"
"Abington, United States"
"Abinsk, Russia"
"Abiramam, India"
"Abiy Adi, Ethiopia"
"Abjij, Egypt"
"Ablu, India"
"Abnub, Egypt"
"Abohar, India"
"Aboisso, Côte d’Ivoire"
"Abomey, Benin"
"Abomey-Calavi, Benin"
"Abomsa, Ethiopia"
"Abong Mbang, Cameroon"
"Abony, Hungary"
"Aborlan, Philippines"
"Aboso, Ghana"
"Abou el Hassan, Algeria"
"Abovyan, Armenia"
"Abqaiq, Saudi Arabia"
"Abra de Ilog, Philippines"
"Abra Pampa, Argentina"
"Abram, United Kingdom"
"Abrandabad-e Shahediyeh, Iran"
"Abrantes, Portugal"
"Abre Campo, Brazil"
"Abrego, Colombia"
"Abrera, Spain"
"Abreu e Lima, Brazil"
"Abreus, Cuba"
"Abrisham, Iran"
"Absecon, United States"
"Abu al Matamir, Egypt"
"Abu Dhabi, United Arab Emirates"
"Abu Dis, West Bank"
"Abu Ghurayb, Iraq"
"Abu Hamad, Sudan"
"Abu Hardub, Syria"
"Abu Hulayfah, Kuwait"
"Abu Hummus, Egypt"
"Abu Khashab, Syria"
"Abu Qir, Egypt"
"Abu Qurqas, Egypt"
"Abu Sir Bana, Egypt"
"Abu Suwayr, Egypt"
"Abu Tij, Egypt"
"Abu Tisht, Egypt"
"Abu Za`bal, Egypt"
"Abu, India"
"Abucay, Philippines"
"Abuja, Nigeria"
"Abulug, Philippines"
"Abuna, Brazil"
"Aburi, Ghana"
"Abuyog, Philippines"
"Abuzar-e Ghaffari, Iran"
"Abyek, Iran"
"Acacias, Colombia"
"Acahay, Paraguay"
"Acailandia, Brazil"
"Acajutiba, Brazil"
"Acajutla, El Salvador"
"Acala del Rio, Spain"
"Acala, Mexico"
"Acambaro, Mexico"
"Acambay, Mexico"
"Acanceh, Mexico"
"Acandi, Colombia"
"Acapetahua, Mexico"
"Acapulco de Juarez, Mexico"
"Acara, Brazil"
"Acarape, Brazil"
"Acarau, Brazil"
"Acari, Brazil"
"Acarigua, Venezuela"
"Acarlar, Turkey"
"Acasusso, Argentina"
"Acate, Italy"
"Acatenango, Guatemala"
"Acatic, Mexico"
"Acatlan de Osorio, Mexico"
"Acatlan de Perez Figueroa, Mexico"
"Acatlan, Mexico"
"Acatlan, Mexico"
"Acatzingo, Mexico"
"Acaxochitlan, Mexico"
"Acayucan, Mexico"
"Ac-cahrij, Morocco"
"Accokeek, United States"
"Accra, Ghana"
"Accrington, United Kingdom"
"Acerra, Italy"
"Acevedo, Colombia"
"Achacachi, Bolivia"
"Achaguas, Venezuela"
"Achaljamu, India"
"Achampet, India"
"Achankovil, India"
"Acharipallam, India"
"Acharnes, Greece"
"Achchampeta, India"
"Achchippatti, India"
"Acheres, France"
"Achern, Germany"
"Achhnera, India"
"Achi, Colombia"
"Achim, Germany"
"Achinsk, Russia"
"Achocalla, Bolivia"
"Achuapa, Nicaragua"
"Aci Castello, Italy"
"Aci Catena, Italy"
"Aci Sant'Antonio, Italy"
"Acilia, Italy"
"Acipayam, Turkey"
"Acireale, Italy"
"Acobamba, Peru"
"Acomb, United Kingdom"
"Aconibe, Equatorial Guinea"
"Acopiara, Brazil"
"Acornhoek, South Africa"
"Acoyapa, Nicaragua"
"Acquaviva delle Fonti, Italy"
"Acquaviva, San Marino"
"Acqui Terme, Italy"
"Acri, Italy"
"Acton, Canada"
"Acton, United Kingdom"
"Acton, United States"
"Actopan, Mexico"
"Actopan, Mexico"
"Acu, Brazil"
"Acucena, Brazil"
"Acul du Nord, Haiti"
"Acushnet, United States"
"Acworth, United States"
"Ad Dab`ah, Egypt"
"Ad Dabbah, Sudan"
"Ad Dabyah, Yemen"
"Ad Dakhla, Morocco"
"Ad Dali`, Yemen"
"Ad Dammam, Saudi Arabia"
"Ad Darb, Saudi Arabia"
"Ad Darbasiyah, Syria"
"Ad Darwa, Morocco"
"Ad Dir`iyah, Saudi Arabia"
"Ad Diraz, Bahrain"
"Ad Dis, Yemen"
"Ad Diwaniyah, Iraq"
"Ad Diwem, Sudan"
"Ad Dujayl, Iraq"
"Ad Dulu`iyah, Iraq"
"Ad Duraykish, Syria"
"Ada, Nigeria"
"Ada, Serbia"
"Ada, United States"
"Adachi, Japan"
"Adakplame, Benin"
"Adalaj, India"
"Adalar, Turkey"
"Adalhat, India"
"Adalpur, India"
"Adamankottai, India"
"Adamantina, Brazil"
"Adami Tulu, Ethiopia"
"Adampur, India"
"Adams, United States"
"Adamstown, Pitcairn Islands"
"Adana, Turkey"
"Adazi, Latvia"
"Adda-Doueni, Comoros"
"Addanki, India"
"Addis Ababa, Ethiopia"
"Addison, United States"
"Addison, United States"
"Addlestone, United Kingdom"
"Adeje, Spain"
"Adekar Kebouche, Algeria"
"Adel, United Kingdom"
"Adelaide River, Australia"
"Adelaide, Australia"
"Adelaide, South Africa"
"Adelanto, United States"
"Adelfia, Italy"
"Adelphi, United States"
"Adelsdorf, Germany"
"Aden, Yemen"
"Adendorf, Germany"
"Adesar, India"
"Adet, Ethiopia"
"Adi Keyh, Eritrea"
"Adigala, Ethiopia"
"Adigappadi, India"
"Adigaratti, India"
"Adigoppula, India"
"Adigrat, Ethiopia"
"Adilabad, India"
"Adilcevaz, Turkey"
"Adis `Alem, Ethiopia"
"Adis Zemen, Ethiopia"
"Adivala, India"
"Adiyakkamangalam, India"
"Adiyaman, Turkey"
"Adjahome, Benin"
"Adjala-Tosorontio, Canada"
"Adjaouere, Benin"
"Adjarra, Benin"
"Adjarra, Benin"
"Adjido, Benin"
"Adjohon, Benin"
"Adjud, Romania"
"Adjumani, Uganda"
"Adliswil, Switzerland"
"Ado-Ekiti, Nigeria"
"Adohoun, Benin"
"Adolfo Gonzales Chaves, Argentina"
"Adonara, Indonesia"
"Adoni, India"
"Adra, India"
"Adra, Spain"
"Adrano, Italy"
"Adrar, Algeria"
"Adrasmon, Tajikistan"
"Adre, Chad"
"Adria, Italy"
"Adrian, United States"
"Adrogue, Argentina"
"Adukam, India"
"Aduku, Uganda"
"Aduru, India"
"Adustina, Brazil"
"Advi Devalpalli, India"
"Adwa, Ethiopia"
"Adwick le Street, United Kingdom"
"Adygeysk, Russia"
"Adzope, Côte d’Ivoire"
"Aerzen, Germany"
"Aesch, Switzerland"
"Afak, Iraq"
"Afanyangan, Togo"
"Afdem, Ethiopia"
"Afega, Samoa"
"Affoltern am Albis, Switzerland"
"Affton, United States"
"Afgooye, Somalia"
"Afir, Algeria"
"Aflao, Ghana"
"Aflou, Algeria"
"Afmadow, Somalia"
"Afogados da Ingazeira, Brazil"
"Afonso Bezerra, Brazil"
"Afonso Claudio, Brazil"
"Afourar, Morocco"
"Afragola, Italy"
"Afranio, Brazil"
"Afsin, Turkey"
"Afua, Brazil"
"Afula, Israel"
"Afumati, Romania"
"Afyonkarahisar, Turkey"
"Afzala, India"
"Afzalpur, India"
"Agadallanka, India"
"Agadez, Niger"
"Agadi, India"
"Agadir, Morocco"
"Agago, Uganda"
"Agame, Benin"
"Agan, China"
"Agano, Japan"
"Agapa, Russia"
"Agar, India"
"Agaram, India"
"Agareb, Tunisia"
"Agaro, Ethiopia"
"Agarpur, India"
"Agartala, India"
"Agatogba, Benin"
"Agawam, United States"
"Agbangnizoun, Benin"
"Agblangandan, Benin"
"Agboville, Côte d’Ivoire"
"Agcabadi, Azerbaijan"
"Agcogon, Philippines"
"Agdam, Azerbaijan"
"Agdam, Azerbaijan"
"Agdangan, Philippines"
"Agdas, Azerbaijan"
"Agde, France"
"Agdz, Morocco"
"Agege, Nigeria"
"Agen, France"
"Ageoshimo, Japan"
"Aghbal, Morocco"
"Aghbala, Morocco"
"Aghbalou Aqourar, Morocco"
"Aghbalou n'Kerdous, Morocco"
"Agia Paraskevi, Greece"
"Agia Varvara, Greece"
"Agidel, Russia"
"Aginiparru, India"
"Aginskoye, Russia"
"Agioi Anargyroi, Greece"
"Agios Athanasios, Cyprus"
"Agios Dimitrios, Greece"
"Agios Ioannis Rentis, Greece"
"Agios Nikolaos, Greece"
"Agiripalle, India"
"Agliana, Italy"
"Aglipay, Philippines"
"Agno, Philippines"
"Agogo, Ghana"
"Agoncillo, Philippines"
"Agoo, Philippines"
"Agoue, Benin"
"Agouna, Benin"
"Agoura Hills, United States"
"Agourai, Morocco"
"Agra, India"
"Agramonte, Cuba"
"Agrate Brianza, Italy"
"Agrestina, Brazil"
"Agri, Turkey"
"Agrigento, Italy"
"Agrinio, Greece"
"Agropoli, Italy"
"Agryz, Russia"
"Agstafa, Azerbaijan"
"Agsu, Azerbaijan"
"Agua Azul do Norte, Brazil"
"Agua Blanca Iturbide, Mexico"
"Agua Blanca, Guatemala"
"Agua Boa, Brazil"
"Agua Branca, Brazil"
"Agua Branca, Brazil"
"Agua Branca, Brazil"
"Agua Clara, Brazil"
"Agua de Dios, Colombia"
"Agua Doce, Brazil"
"Agua Fria, Brazil"
"Agua Preta, Brazil"
"Agua Prieta, Mexico"
"Aguacatan, Guatemala"
"Aguachica, Colombia"
"Aguada de Pasajeros, Cuba"
"Aguadas, Colombia"
"Aguadilla, Puerto Rico"
"Aguadulce, Panama"
"Aguadulce, Spain"
"Aguai, Brazil"
"Agualva, Portugal"
"Aguas Belas, Brazil"
"Aguas de Lindoia, Brazil"
"Aguas Formosas, Brazil"
"Aguas Santas, Portugal"
"Aguas Vermelhas, Brazil"
"Aguas Zarcas, Costa Rica"
"Aguasay, Venezuela"
"Aguascalientes, Mexico"
"Aguazul, Colombia"
"Agudo, Brazil"
"Agudos do Sul, Brazil"
"Agudos, Brazil"
"Agueda, Portugal"
"Aguelhok, Mali"
"Aguelmous, Morocco"
"Agui, Japan"
"Aguia Branca, Brazil"
"Aguilar, Philippines"
"Aguilar, Spain"
"Aguilares, Argentina"
"Aguilares, El Salvador"
"Aguilas, Spain"
"Aguimes, Spain"
"Aguinaldo, Philippines"
"Agustin Codazzi, Colombia"
"Agutaya, Philippines"
"Ahar, Iran"
"Ahaus, Germany"
"Ahenkro, Ghana"
"Aheqi, China"
"Ahermoumou, Morocco"
"Ahfir, Morocco"
"Ahigbe Koffikro, Côte d’Ivoire"
"Ahirauliya, India"
"Ahiro, India"
"Ahlaf, Morocco"
"Ahlat, Turkey"
"Ahlen, Germany"
"Ahmadabad, India"
"Ahmadli, Azerbaijan"
"Ahmadnagar, India"
"Ahmadpur East, Pakistan"
"Ahmadpur, India"
"Ahmadpur, India"
"Ahmed Rachedi, Algeria"
"Ahmedabad, India"
"Ahmer el 'Ain, Algeria"
"Ahmetli, Turkey"
"Ahogbeya, Benin"
"Ahor, India"
"Ahram, Iran"
"Ahrensbok, Germany"
"Ahrensburg, Germany"
"Ahrensfelde, Germany"
"Ahuachapan, El Salvador"
"Ahualulco de Mercado, Mexico"
"Ahuimanu, United States"
"Ahumada, Mexico"
"Ahus, Sweden"
"Ahvaz, Iran"
"Ahwa, India"
"Aibak, Afghanistan"
"Aibongo, Mali"
"Aibonito, Puerto Rico"
"Aich, Germany"
"Aichach, Germany"
"Aidlingen, Germany"
"Aiea, United States"
"Aigaleo, Greece"
"Aigio, Greece"
"Aigle, Switzerland"
"Aigua, Uruguay"
"Aigues-Mortes, France"
"Aihua, China"
"Aikaranad, India"
"Aiken, United States"
"Ailan Mubage, China"
"Aileu, Timor-Leste"
"Aimores, Brazil"
"'Ain Abessa, Algeria"
"'Ain Abid, Algeria"
"Ain Aicha, Morocco"
"'Ain Arnat, Algeria"
"'Ain Azel, Algeria"
"'Ain Babouche, Algeria"
"Ain Beida, Algeria"
"Ain Beida, Morocco"
"Ain Bessem, Algeria"
"'Ain Boucif, Algeria"
"Ain Cheggag, Morocco"
"Ain Defla, Algeria"
"Ain Dfali, Morocco"
"Ain El Aouda, Morocco"
"'Ain el Arbaa, Algeria"
"'Ain el Assel, Algeria"
"'Ain el Bell, Algeria"
"Ain el Bya, Algeria"
"Ain el Hadid, Algeria"
"Ain el Hadjar, Algeria"
"'Ain el Hammam, Algeria"
"Ain el Mediour, Morocco"
"'Ain el Melh, Algeria"
"'Ain el Turk, Algeria"
"Ain Fakroun, Algeria"
"Ain Feka, Algeria"
"'Ain Fekan, Algeria"
"Ain Harrouda, Morocco"
"Ain Jemaa, Morocco"
"Ain Kansara, Morocco"
"Ain Kechera, Algeria"
"Ain Kercha, Algeria"
"'Ain Kerma, Algeria"
"Ain Lechiakh, Algeria"
"Ain Legdah, Morocco"
"'Ain Leuh, Morocco"
"'Ain Mabed, Algeria"
"Ain Mediouna, Morocco"
"'Ain Merane, Algeria"
"Ain M'Lila, Algeria"
"'Ain Mouilah, Algeria"
"'Ain Naga, Algeria"
"Ain Nouissy, Algeria"
"Ain Oulmene, Algeria"
"Ain Oussera, Algeria"
"'Ain Roua, Algeria"
"Ain Sefra, Algeria"
"Ain Smara, Algeria"
"'Ain Taghrout, Algeria"
"Ain Taoujdat, Morocco"
"Ain Taya, Algeria"
"Ain Tedeles, Algeria"
"'Ain Tellout, Algeria"
"Ain Temouchent, Algeria"
"'Ain Tolba, Algeria"
"Ain Touta, Algeria"
"Ain Youcef, Algeria"
"Ain Zaouia, Algeria"
"Ain Zohra, Morocco"
"Ain Zora, Morocco"
"Ainan, Japan"
"Ainapur, India"
"Ainaro, Timor-Leste"
"Aine Draham, Tunisia"
"Ainring, Germany"
"Ainsdale, United Kingdom"
"Aioi, Japan"
"Aioun, Mauritania"
"Aipe, Colombia"
"Aiquile, Bolivia"
"Aira, Japan"
"Airdrie, Canada"
"Airdrie, United Kingdom"
"Aire-sur-la-Lys, France"
"Airmadidi, Indonesia"
"Airmont, United States"
"Airway Heights, United States"
"Aisai, Japan"
"Aisho, Japan"
"Ait Ali, Morocco"
"Ait Ben Daoudi, Morocco"
"Ait Bouchta, Morocco"
"Ait Bousarane, Morocco"
"Ait Bouziyane, Morocco"
"Ait Faska, Morocco"
"Ait Hadi, Morocco"
"Ait Hani, Morocco"
"Ait I'yach, Morocco"
"Ait Lhaj All, Morocco"
"Ait Majdane, Morocco"
"Ait Melloul, Morocco"
"Ait Ouaoumana, Morocco"
"Ait Ourir, Morocco"
"Ait Rami, Morocco"
"Ait Tagalla, Morocco"
"Ait Tamlil, Morocco"
"Ait Touil, Morocco"
"Ait Yaazem, Morocco"
"Ait Yaich, Algeria"
"Ait Youssef Ou Ali, Morocco"
"Aiuaba, Brazil"
"Aiud, Romania"
"Aix-en-Provence, France"
"Aix-les-Bains, France"
"Aiyampuzha, India"
"Aiyappan Kovil, India"
"Aiyetoro Gbede, Nigeria"
"Aiyomojok, Cameroon"
"Aizawa, Japan"
"Aizawl, India"
"Aizenay, France"
"Aizkraukle, Latvia"
"Aizubange, Japan"
"Aizumi, Japan"
"Aizumisato, Japan"
"Aizuwakamatsu, Japan"
"Aj Jourf, Morocco"
"Aja, Egypt"
"Ajaccio, France"
"Ajacuba, Mexico"
"Ajaigarh, India"
"Ajas, India"
"Ajax, Canada"
"Ajdabiya, Libya"
"Ajdir, Morocco"
"Ajdovscina, Slovenia"
"Ajijic, Mexico"
"Ajim, Tunisia"
"Ajjampur, India"
"Ajjanahalli, India"
"Ajjipuram, India"
"Ajka, Hungary"
"Ajmer, India"
"Ajnala, India"
"Ajodhya, India"
"Ajuy, Philippines"
"Akabira, Japan"
"Akabli, Algeria"
"Akaiwa, Japan"
"Akalapura, India"
"Akalgarh, India"
"Akambadam, India"
"Akanavaritota, India"
"Akassato, Benin"
"Akat Amnuai, Thailand"
"Akayu, Japan"
"Akbarpur, India"
"Akbarpur, India"
"Akbez, Turkey"
"Akbou, Algeria"
"Akcaabat, Turkey"
"Akcadag, Turkey"
"Akcakale, Turkey"
"Akcakoca, Turkey"
"Akdagmadeni, Turkey"
"Akdepe, Turkmenistan"
"Ak-Dovurak, Russia"
"Akersberga, Sweden"
"Aketao, China"
"Aketi, Congo (Kinshasa)"
"Akhaltsikhe, Georgia"
"Akhisar, Turkey"
"Akhmim, Egypt"
"Akhnur, India"
"Akhtubinsk, Russia"
"Akhty, Russia"
"Aki, Japan"
"Akil, Mexico"
"Akim Swedru, Ghana"
"Akiruno, Japan"
"Akishima, Japan"
"Akita, Japan"
"Akitakata, Japan"
"Akividu, India"
"Akjoujt, Mauritania"
"Akkattettar, India"
"Akkus, Turkey"
"Aklanpa, Benin"
"Aklera, India"
"Aklim, Morocco"
"Aklvidu, India"
"Akola, India"
"Akola, India"
"Akom II, Cameroon"
"Akono, Cameroon"
"Akonolinga, Cameroon"
"Akora, India"
"Akora, Pakistan"
"Ak'ordat, Eritrea"
"Akot, India"
"Akouda, Tunisia"
"Akpassi, Benin"
"Akron, United States"
"Akropong, Ghana"
"Aksaray, Turkey"
"Aksay, Kazakhstan"
"Aksay, Russia"
"Aksehir, Turkey"
"Akseki, Turkey"
"Aksu, China"
"Aksu, Turkey"
"Aksum, Ethiopia"
"Ak-Suu, Kyrgyzstan"
"Aktepe, Turkey"
"Aktuluk, Turkey"
"Akune, Japan"
"Akurana, Sri Lanka"
"Akure, Nigeria"
"Akureyri, Iceland"
"Akwatia, Ghana"
"Akyazi, Turkey"
"Akyurt, Turkey"
"Al `Ajami, Egypt"
"Al `Alamayn, Egypt"
"Al `Amadiyah, Iraq"
"Al `Amarah, Iraq"
"Al `Amirat, Oman"
"Al `Aqabah, Jordan"
"Al `Aqiq, Saudi Arabia"
"Al `Arish, Egypt"
"Al `Asharah, Syria"
"Al `Ashir min Ramadan, Egypt"
"Al `Awwamiyah, Saudi Arabia"
"Al `Aydabi, Saudi Arabia"
"Al `Ayn, United Arab Emirates"
"Al `Ayyat, Egypt"
"Al `Aziziyah, Iraq"
"Al `Aziziyah, Libya"
"Al `Uqaylah, Libya"
"Al Aaroui, Morocco"
"Al Abraq, Libya"
"Al Ahad al Masarihah, Saudi Arabia"
"Al Ahmadi, Kuwait"
"Al Atarib, Syria"
"Al 'Attawia, Morocco"
"Al Awjam, Saudi Arabia"
"Al Badari, Egypt"
"Al Badrashayn, Egypt"
"Al Bahah, Saudi Arabia"
"Al Bahnasa, Egypt"
"Al Bajur, Egypt"
"Al Balyana, Egypt"
"Al Bardiyah, Libya"
"Al Basrah, Iraq"
"Al Bayahu, Egypt"
"Al Bayda', Libya"
"Al Bayda', Yemen"
"Al Brouj, Morocco"
"Al Buraymi, Oman"
"Al Buwaydah, Syria"
"Al Fallujah, Iraq"
"Al Fashn, Egypt"
"Al Faw, Iraq"
"Al Fayd, Morocco"
"Al Fayyum, Egypt"
"Al Fqih Ben Calah, Morocco"
"Al Fuhays, Jordan"
"Al Fujayrah, United Arab Emirates"
"Al Ghardaqah, Egypt"
"Al Ghat, Saudi Arabia"
"Al Ghayzah, Yemen"
"Al Ghizlaniyah, Syria"
"Al Ha'ir, Saudi Arabia"
"Al Hajar al Aswad, Syria"
"Al Hamah, Syria"
"Al Hamalah, Bahrain"
"Al Hamdaniyah, Iraq"
"Al Hammam, Morocco"
"Al Hammamiyah, Egypt"
"Al Hamzah, Iraq"
"Al Harah, Syria"
"Al Hasakah, Syria"
"Al Hashimiyah, Iraq"
"Al Hawiyah, Saudi Arabia"
"Al Hayy, Iraq"
"Al Hazm, Yemen"
"Al Hibah, Egypt"
"Al Hillah, Iraq"
"Al Hillah, Saudi Arabia"
"Al Hindiyah, Iraq"
"Al Hisn, Jordan"
"Al Hoceima, Morocco"
"Al Hudaydah, Yemen"
"Al Hufuf, Saudi Arabia"
"Al Husayniyah, Egypt"
"Al Jabayish, Iraq"
"Al Jabin, Yemen"
"Al Jaghbub, Libya"
"Al Jahra', Kuwait"
"Al Jammaliyah, Egypt"
"Al Jawf, Libya"
"Al Jazirah al Hamra', United Arab Emirates"
"Al Jizah, Jordan"
"Al Jubayl, Saudi Arabia"
"Al Jumayl, Libya"
"Al Jumayliyah, Qatar"
"Al Juwayyidah, Jordan"
"Al Karak, Jordan"
"Al Karak, Syria"
"Al Karnak, Egypt"
"Al Khankah, Egypt"
"Al Kharj, Saudi Arabia"
"Al Kharjah, Egypt"
"Al Khawr, Qatar"
"Al Khmissat, Morocco"
"Al Khubar, Saudi Arabia"
"Al Khums, Libya"
"Al Kiswah, Syria"
"Al Kufah, Iraq"
"Al Kut, Iraq"
"Al Lataminah, Syria"
"Al Lith, Saudi Arabia"
"Al Ma`alla', Yemen"
"Al Madad, Yemen"
"Al Madamud, Egypt"
"Al Madrah Sama'il, Oman"
"Al Mafraq, Jordan"
"Al Mahallah al Kubra, Egypt"
"Al Mahwit, Yemen"
"Al Majaridah, Saudi Arabia"
"Al Majma`ah, Saudi Arabia"
"Al Malikiyah, Bahrain"
"Al Malikiyah, Syria"
"Al Manaqil, Sudan"
"Al Mansurah, Egypt"
"Al Mansurah, Yemen"
"Al Maraghah, Egypt"
"Al Marj, Libya"
"Al Matariyah, Egypt"
"Al Mayadin, Syria"
"Al Mazar ash Shamali, Jordan"
"Al M'aziz, Morocco"
"Al Mazyunah, Oman"
"Al Midhnab, Saudi Arabia"
"Al Mijlad, Sudan"
"Al Mindak, Saudi Arabia"
"Al Minshah, Egypt"
"Al Minya, Egypt"
"Al Miqdadiyah, Iraq"
"Al Misrakh, Yemen"
"Al Mu`abbadah, Syria"
"Al Mu`addamiyah, Syria"
"Al Mubarraz, Saudi Arabia"
"Al Mudaybi, Oman"
"Al Muharraq, Bahrain"
"Al Mukalla, Yemen"
"Al Musayfirah, Syria"
"Al Musayyib, Iraq"
"Al Muzayrib, Syria"
"Al Qa`idah, Yemen"
"Al Qa'im, Iraq"
"Al Qal`ah, Egypt"
"Al Qamishli, Syria"
"Al Qardahah, Syria"
"Al Qaryatayn, Syria"
"Al Qasr, Egypt"
"Al Qatif, Saudi Arabia"
"Al Qays, Egypt"
"Al Qbab, Morocco"
"Al Qitena, Sudan"
"Al Qubbah, Libya"
"Al Qunaytirah, Syria"
"Al Qunfudhah, Saudi Arabia"
"Al Qurayn, Egypt"
"Al Qurayya, Syria"
"Al Qurayyat, Saudi Arabia"
"Al Qurnah, Iraq"
"Al Qusayr, Syria"
"Al Qusiyah, Egypt"
"Al Qutayfah, Syria"
"Al Quway`iyah, Saudi Arabia"
"Al Wajh, Saudi Arabia"
"Al Wakrah, Qatar"
"Al Waqf, Egypt"
"Al Yadudah, Syria"
"Ala, Italy"
"Alabang, Philippines"
"Alabaster, United States"
"Alabat, Philippines"
"Alabel, Philippines"
"Ala-Buka, Kyrgyzstan"
"Alaca, Turkey"
"Alacam, Turkey"
"Alacati, Turkey"
"Alachua, United States"
"Alacuas, Spain"
"Aladag, Turkey"
"Alafaya, United States"
"Alagappapuram, India"
"Alagarai, India"
"Alagir, Russia"
"Alagoa Grande, Brazil"
"Alagoa Nova, Brazil"
"Alagoinha, Brazil"
"Alagoinha, Brazil"
"Alagoinha, Brazil"
"Alagoinhas, Brazil"
"Alahina, Mali"
"Alajarvi, Finland"
"Alajuela, Costa Rica"
"Alajuelita, Costa Rica"
"Alakamisy Anativato, Madagascar"
"Alakamisy Itenina, Madagascar"
"Alakamisy, Madagascar"
"Alakamisy-Ambohimaha, Madagascar"
"Alakamisy-Ambohimahazo, Madagascar"
"Alamada, Philippines"
"Alamadi, India"
"Alamat'a, Ethiopia"
"Alameda, United States"
"Alamedin, Kyrgyzstan"
"Alaminos, Philippines"
"Alaminos, Philippines"
"Alamnagar, India"
"Alamo, Mexico"
"Alamo, United States"
"Alamo, United States"
"Alamogordo, United States"
"Alamos, Mexico"
"Alamosa, United States"
"Alampalaiyam, India"
"Alampur Gonpura, India"
"Alampur, India"
"Alampur, India"
"Alampur, India"
"Alamuru, India"
"Aland, India"
"Alandatte, India"
"Alangalang, Philippines"
"Alanganallur, India"
"Alangayam, India"
"Alangudi, India"
"Alangulam, India"
"Alanya, Turkey"
"Alapayevsk, Russia"
"Alapli, Turkey"
"Alarobia Bemaha, Madagascar"
"Alarobia, Madagascar"
"Alasandigutta, India"
"Alasehir, Turkey"
"Alashankou, China"
"Alassio, Italy"
"Alat, Azerbaijan"
"Alatri, Italy"
"Alatsinainy Ialamarina, Madagascar"
"Alatsinainy-Bakaro, Madagascar"
"Alattur, India"
"Alatyr, Russia"
"Alauli, India"
"Alausi, Ecuador"
"Alaverdi, Armenia"
"Alavus, Finland"
"Alawalpur, India"
"Alawandi, India"
"Alayaman, India"
"Alayor, Spain"
"Alba Iulia, Romania"
"Alba, Italy"
"Albacete, Spain"
"Albal, Spain"
"Albania, Colombia"
"Albano Laziale, Italy"
"Albany, Australia"
"Albany, United States"
"Albany, United States"
"Albany, United States"
"Albany, United States"
"Albatera, Spain"
"Albemarle, United States"
"Albenga, Italy"
"Alberdi, Paraguay"
